COURSE_CODE,COLLEGE
EVS,Geoscience
GEO,Geoscience
IMS,Information
I,Information
ISP,Information
INF,Information
N,Nursing
CGS,Liberal Arts
CTI,Liberal Arts
H S,Liberal Arts
HDO,Liberal Arts
HMN,Liberal Arts
IRG,Liberal Arts
LTC,Liberal Arts
L A,Liberal Arts
LAH,Liberal Arts
UTL,Liberal Arts
AFR,Liberal Arts
YOR,Liberal Arts
SWA,Liberal Arts
AMS,Liberal Arts
ANT,Liberal Arts
STS,Liberal Arts
ANS,Liberal Arts
BEN,Liberal Arts
CHI,Liberal Arts
HIN,Liberal Arts
JPN,Liberal Arts
KOR,Liberal Arts
MAL,Liberal Arts
SAN,Liberal Arts
SAL,Liberal Arts
TAM,Liberal Arts
TEL,Liberal Arts
URD,Liberal Arts
AHC,Liberal Arts
C C,Liberal Arts
GK,Liberal Arts
LAT,Liberal Arts
C L,Liberal Arts
CLS,Liberal Arts
ECO,Liberal Arts
E,Liberal Arts
CRW,Liberal Arts
AAS,Liberal Arts
RIM,Liberal Arts
EUS,Liberal Arts
FR,Liberal Arts
F C,Liberal Arts
ITL,Liberal Arts
ITC,Liberal Arts
GTG,Liberal Arts
SUS,Liberal Arts
URB,Liberal Arts
DAN,Liberal Arts
DCH,Liberal Arts
GER,Liberal Arts
GSD,Liberal Arts
NOR,Liberal Arts
SWE,Liberal Arts
YID,Liberal Arts
GOV,Liberal Arts
HIS,Liberal Arts
J S,Liberal Arts
LAL,Liberal Arts
LAS,Liberal Arts
ASL,Liberal Arts
LIN,Liberal Arts
MAS,Liberal Arts
MES,Liberal Arts
ARA,Liberal Arts
HEB,Liberal Arts
ISL,Liberal Arts
MEL,Liberal Arts
PRS,Liberal Arts
TUR,Liberal Arts
PHL,Liberal Arts
S S,Liberal Arts
T C,Liberal Arts
PSY,Liberal Arts
R S,Liberal Arts
RHE,Liberal Arts
AFS,Liberal Arts
M S,Liberal Arts
N S,Liberal Arts
REE,Liberal Arts
CZ,Liberal Arts
POL,Liberal Arts
RUS,Liberal Arts
S C,Liberal Arts
SEL,Liberal Arts
UKR,Liberal Arts
SOC,Liberal Arts
ILA,Liberal Arts
POR,Liberal Arts
PRC,Liberal Arts
SPN,Liberal Arts
SPC,Liberal Arts
WGS,Liberal Arts
ARI,Architecture
ARC,Architecture
CRP,Architecture
LAR,Architecture
B A,Business
ACC,Business
FIN,Business
R E,Business
BGS,Business
I B,Business
LEB,Business
BAX,Business
D S,Business
MIS,Business
O M,Business
R M,Business
STA,Business
MAN,Business
MKT,Business
COM,Communication
CLD,Communication
ADV,Communication
P R,Communication
CMS,Communication
J,Communication
RTF,Communication
SLH,Communication
ALD,Education
EDC,Education
FLE,Education
STM,Education
ELP,Education
EDP,Education
HED,Education
KIN,Education
PED,Education
SCI,Education
SED,Education
E S,Engineering
G E,Engineering
ASE,Engineering
COE,Engineering
E M,Engineering
BME,Engineering
CHE,Engineering
ARE,Engineering
C E,Engineering
EVE,Engineering
E E,Engineering
M E,Engineering
ORI,Engineering
PGE,Engineering
F A,Fine Arts
AED,Fine Arts
ARH,Fine Arts
ART,Fine Arts
VAS,Fine Arts
T D,Fine Arts
BSN,Fine Arts
CLA,Fine Arts
CON,Fine Arts
D B,Fine Arts
DRS,Fine Arts
ENS,Fine Arts
EUP,Fine Arts
FLU,Fine Arts
F H,Fine Arts
GUI,Fine Arts
HAR,Fine Arts
HSC,Fine Arts
MUS,Fine Arts
MBU,Fine Arts
MRT,Fine Arts
OBO,Fine Arts
OPR,Fine Arts
ORG,Fine Arts
PER,Fine Arts
PRF,Fine Arts
PIA,Fine Arts
REC,Fine Arts
SAX,Fine Arts
TRO,Fine Arts
TRU,Fine Arts
TBA,Fine Arts
VIB,Fine Arts
VIA,Fine Arts
VIO,Fine Arts
V C,Fine Arts
VOI,Fine Arts
AET,Fine Arts
DES,Fine Arts
ITD,Fine Arts
NSC,Natural Sciences
UTS,Natural Sciences
AST,Natural Sciences
BIO,Natural Sciences
CH,Natural Sciences
C S,Natural Sciences
HDF,Natural Sciences
HE,Natural Sciences
NTR,Natural Sciences
PBH,Natural Sciences
TXA,Natural Sciences
MNS,Natural Sciences
ACF,Natural Sciences
M,Natural Sciences
BCH,Natural Sciences
MOL,Natural Sciences
P S,Natural Sciences
PHY,Natural Sciences
SDS,Natural Sciences
NEU,Natural Sciences
PHM,Pharmacy
P A,LBJ Public Affairs
PSF,Social Work
S W,Social Work
BDP,Undergraduate Studies
DEV,Undergraduate Studies
UGS,Undergraduate Studies